Titles,Lifetime_Gross,Max_theaters,Opening_col,Opening_theaters,Release_date,Distributor,Rank
Fahrenheit 9/11,119194771,2011,"$23,920,637",868,2004-06-23,Lionsgate,1
March of the Penguins,77437223,2506,"$137,492",4,2005-06-24,Warner Independent Pictures (WIP),2
Justin Bieber: Never Say Never,73013910,3118,"$29,514,054",3105,2011-02-11,Paramount Pictures,3
This Is It,72091016,3481,"$23,234,394",3481,2009-10-28,Sony Pictures Entertainment (SPE),4
Under the Sea 3D,36262926,108,"$661,185",49,2009-02-13,Warner Bros.,5
2016: Obama's America,33449086,2017,"$31,610",1,2012-07-13,Rocky Mountain Pictures,6
Earth,32011576,1804,"$8,825,760",1804,2009-04-22,Walt Disney Studios Motion Pictures,7
Chimpanzee,28972764,1567,"$10,673,748",1563,2012-04-20,Walt Disney Studios Motion Pictures,8
One Direction: This Is Us,28873374,2735,"$15,815,497",2735,2013-08-30,TriStar Pictures,9
Born to Be Wild,25978556,208,"$871,478",206,2011-04-08,Warner Bros.,10
Part of Me,25326071,2732,"$7,138,266",2730,2012-07-05,Paramount Pictures,11
Sicko,24540079,1117,"$68,969",1,2007-06-22,Lionsgate,12
An Inconvenient Truth,24146161,587,"$281,330",4,2006-05-24,Paramount Classics,13
Won't You Be My Neighbor?,22835787,893,"$475,419",29,2018-06-08,Focus Features,14
Bowling for Columbine,21576018,248,"$209,148",8,2002-10-11,United Artists,15
Oceans,19422319,1232,"$6,058,958",1206,2010-04-22,Walt Disney Studios Motion Pictures,16
Bears,17780194,1790,"$4,776,267",1720,2014-04-18,Walt Disney Studios Motion Pictures,18
Free Solo,17541090,483,"$294,288",4,2018-09-28,National Geographic Entertainment,19
Monkey Kingdom,16432322,2012,"$4,577,861",2012,2015-04-17,Walt Disney Studios Motion Pictures,20
A Beautiful Planet,15650615,155,"$223,983",137,2016-04-29,IMAX,21
African Cats,15428747,1224,"$6,003,200",1220,2011-04-22,Walt Disney Studios Motion Pictures,22
Madonna: Truth or Dare,15012935,652,"$543,250",51,1991-05-10,Miramax,23
To the Arctic 3D,14560838,52,"$270,228",50,2012-04-20,Warner Bros.,24
America: Imagine the World Without Her,14444502,1105,"$38,608",3,2014-06-27,Lionsgate,25
Capitalism: A Love Story,14363397,995,"$231,964",4,2009-09-23,Overture Films,26
RBG,14017361,432,"$578,470",34,2018-05-04,Magnolia Pictures,27
Born in China,13873211,1508,"$4,790,367",1508,2017-04-21,Walt Disney Studios Motion Pictures,28
Religulous,13011160,568,"$3,409,643",502,2008-10-01,Lionsgate,30
Three Identical Strangers,12320845,433,"$171,503",5,2018-06-29,Neon,31
Super Size Me,11536423,230,"$516,641",41,2004-05-07,IDP Distribution,32
Island of Lemurs: Madagascar,11272213,302,"$188,307",37,2014-04-04,Warner Bros.,33
Winged Migration,10764402,202,"$33,128",1,2003-04-18,Sony Pictures Classics,34
Terror in the Aisles,10004817,1134,"$4,009,866",1127,1984-10-26,Universal Pictures,35
Amy,8413144,435,"$222,500",6,2015-07-03,A24,36
Mad Hot Ballroom,8117961,202,"$45,348",2,2005-05-13,Paramount Classics,37
Hoop Dreams,7830611,262,"$18,396",3,1994-10-14,Fine Line Features,39
Expelled: No Intelligence Allowed,7720487,1052,"$2,970,848",1052,2008-04-18,Rocky Mountain Pictures,40
Tupac: Resurrection,7718961,804,"$4,632,847",801,2003-11-14,Paramount Pictures,41
Penguins,7699452,1815,"$2,282,593",1815,2019-04-17,Walt Disney Studios Motion Pictures,42
Journey to the South Pacific,7653913,19,"$8,137",1,2013-11-27,IMAX,43
Pandas,7574012,35,"$158,915",33,2018-04-06,Warner Bros.,44
Babies,7320323,543,"$2,160,460",534,2010-05-07,Focus Features,45
I Am Not Your Negro,7123919,320,"$686,378",43,2017-02-03,Magnolia Pictures,46
Roger & Me,6706368,265,"$80,253",4,1989-12-22,Warner Bros.,47
Waiting for Superman,6417135,330,"$139,033",4,2010-09-24,Paramount Vantage,48
The Aristocrats,6377461,234,"$243,796",4,2005-07-29,THINKFilm,49
Fahrenheit 11/9,6352306,1719,"$3,008,563",1719,2018-09-21,Briarcliff Entertainment,50
Justin Bieber's Believe,6206566,1037,"$2,007,567",1037,2013-12-25,Open Road Films (II),51
Meet the Mormons,6047363,333,"$2,509,808",317,2014-10-10,Purdie Distribution,52
Spellbound,5728581,117,"$17,508",1,2003-04-30,THINKFilm,54
Shine a Light,5505267,277,"$1,488,081",276,2008-04-04,Paramount Vantage,56
Three of Hearts,5495507,793,"$1,928,076",792,1993-04-30,New Line Cinema,57
Cave of Forgotten Dreams,5304920,123,"$139,101",5,2011-04-29,IFC Films,58
20 Feet from Stardom,4946445,147,"$54,596",3,2013-06-14,RADiUS-TWC,59
Bring the Soul: The Movie,4809800,873,"$2,296,491",873,2019-08-07,Trafalgar Releasing,60
Pavarotti,4600249,288,"$144,032",19,2019-06-07,CBS Films,61
Touching the Void,4593598,137,"$96,973",5,2004-01-23,IFC Films,62
Amazing Grace,4450456,263,"$57,353",3,2018-12-07,Neon,63
"Food, Inc.",4417674,155,"$60,513",3,2009-06-12,Magnolia Pictures,64
The Biggest Little Farm,4366949,285,"$110,492",5,2019-05-10,Neon,65
Inside Job,4312735,250,"$39,649",2,2010-10-08,Sony Pictures Classics,66
Linda Ronstadt: The Sound of My Voice,4252657,247,"$113,235",7,2019-09-06,Greenwich Entertainment,67
That's Dancing!,4210938,906,"$1,506,802",906,1985-01-18,Metro-Goldwyn-Mayer (MGM),68
Burn the Stage: The Movie,4201819,645,"$2,420,197",629,2018-11-15,Trafalgar Releasing,69
The Fog of War,4198566,261,"$41,449",3,2003-12-19,Sony Pictures Classics,70
Good Hair,4157223,466,"$1,039,220",186,2009-10-09,Roadside Attractions,71
Enron: The Smartest Guys in the Room,4071700,151,"$76,639",3,2005-04-22,Magnolia Pictures,72
Buck,4038912,152,"$67,548",4,2011-06-17,IFC Films,73
Bully,3863446,263,"$535,433",158,2012-04-13,The Weinstein Company,75
Where to Invade Next,3827261,308,"$897,034",308,2016-02-12,Drafthouse Films,76
The Real Cancun,3825421,2261,"$2,300,000",2261,2003-04-25,New Line Cinema,77
The September Issue,3820067,143,"$220,633",6,2009-08-28,Roadside Attractions,78
Paris Is Burning,3779620,91,"$310,127",23,1991-08-09,Miramax,79
Imagine: John Lennon,3753977,561,"$1,412,213",561,1988-10-07,Warner Bros.,80
Searching for Sugar Man,3696196,157,"$27,459",3,2012-07-27,Sony Pictures Classics,81
Step Into Liquid,3681803,91,"$135,985",5,2003-08-08,Artisan Entertainment,82
Pina,3524826,84,"$68,012",3,2011-12-23,IFC Films,83
Born Into Brothels: Calcutta's Red Light Kids,3515061,127,"$14,605",1,2004-12-08,THINKFilm,84
BTS World Tour: Love Yourself in Seoul,3509917,997,"$2,860,016",997,2019-01-26,Fathom Events,85
